ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MNQ 03-26,2025-12-29 04:09:00,Long,25784.2535803238,2025-12-29 04:13:00,25779,SL_Long_01,-84.06,14.56,-98.62,-84.06,107.94,Europe Low,1,-1.00
2,MNQ 03-26,2025-12-29 04:20:00,Long,25785.283409611,2025-12-29 04:26:00,25777.5,SL_Long_02,-77.83,9.10,-86.93,-77.83,37.17,Europe Low,2,-1.00
3,MNQ 03-26,2025-12-29 04:33:00,Long,25778.500261233,2025-12-29 04:33:00,25773.75,SL_Long_03,-76.00,14.56,-90.56,-76.00,20.00,Europe Low,3,-1.00
4,MNQ 03-26,2025-12-29 04:46:00,Long,25754.5,2025-12-29 04:46:00,25748.75,SL_Long_04,-80.50,12.74,-93.24,-80.50,0.00,Europe Low,4,-1.00
5,MNQ 03-26,2025-12-29 05:00:00,Long,25736.5043074884,2025-12-29 09:48:00,25731.25,SL_Long_05,-84.07,14.56,-98.63,-84.07,647.93,Europe Low,5,-1.00
6,MNQ 03-26,2025-12-29 10:08:00,Long,25683.5489346001,2025-12-29 10:17:00,25660.25,SL_Long_06,-93.20,3.64,-96.84,-93.20,66.80,Europe Low,6,-1.00
7,MNQ 03-26,2025-12-29 10:31:00,Long,25683.2825110558,2025-12-29 10:31:00,25683,SL_Long_07,-1.13,3.64,-4.77,-1.13,0.00,Europe Low,7,-1.00
8,MNQ 03-26,2025-12-29 13:34:00,Long,25659.7555402152,2025-12-29 15:43:00,25737,TP1_Long_08,308.98,3.64,305.34,-6.04,619.96,Europe Low,8,3.15
8.2,MNQ 03-26,2025-12-29 13:34:00,Long,25659.7555402152,2025-12-30 19:13:00,25659.7555402152,SL_Long_08,0.00,3.64,-3.64,-6.04,619.96,Europe Low,8,0.00
9,MNQ 03-26,2025-12-30 19:49:00,Long,25651.0195035461,2025-12-30 20:07:00,25643.25,SL_Long_01,-93.23,10.92,-104.15,-93.23,92.77,Asia Low,1,-1.00
10,MNQ 03-26,2025-12-30 20:19:00,Long,25644.5,2025-12-30 20:46:00,25632.75,SL_Long_02,-94.00,7.28,-101.28,-94.00,30.00,Asia Low,2,-1.00
11,MNQ 03-26,2025-12-30 20:58:00,Long,25615.2526843741,2025-12-30 21:01:00,25605.75,SL_Long_03,-76.02,7.28,-83.30,-76.02,23.98,Asia Low,3,-1.00
12.1,MNQ 03-26,2025-12-30 21:42:00,Long,25608.7755654619,2025-12-30 22:32:00,25632.75,TP1_Long_04,47.95,1.82,46.13,-2.10,96.90,Asia Low,4,0.57
12.2,MNQ 03-26,2025-12-30 21:42:00,Long,25608.7755654619,2025-12-30 22:50:00,25608.7755654619,SL_Long_04,0.00,1.82,-1.82,-2.10,96.90,Asia Low,4,0.00
13,MNQ 03-26,2025-12-31 02:24:00,Long,25588.0007413998,2025-12-31 02:28:00,25582.25,SL_Long_05,-46.01,7.28,-53.29,-46.01,13.99,Asia Low,5,-1.00
14,MNQ 03-26,2025-12-31 02:55:00,Long,25589.3018027802,2025-12-31 03:12:00,25576.75,SL_Long_06,-50.21,3.64,-53.85,-50.21,52.79,Asia Low,6,-1.00
15,MNQ 03-26,2025-12-31 03:51:00,Long,25594.6026505739,2025-12-31 04:32:00,25575,SL_Long_07,-78.41,3.64,-82.05,-78.41,38.59,Asia Low,7,-1.00
16,MNQ 03-26,2025-12-31 04:39:00,Long,25561.25,2025-12-31 04:40:00,25554.75,SL_Long_08,-39.00,5.46,-44.46,-39.00,3.00,Asia Low,8,-1.00
17.1,MNQ 03-26,2025-12-31 04:46:00,Long,25565.25,2025-12-31 08:01:00,25615.5,TP1_Long_09,100.50,1.82,98.68,-38.00,202.00,Asia Low,9,1.90
17.2,MNQ 03-26,2025-12-31 04:46:00,Long,25565.25,2025-12-31 09:51:00,25690.5,TP2_Long_09,250.50,1.82,248.68,-38.00,251.00,Asia Low,9,4.73
18,MNQ 03-26,2025-12-31 10:01:00,Short,25705.75,2025-12-31 10:02:00,25715.25,SL_Short_01,-57.00,5.46,-62.46,-57.00,25.50,Asia High,1,-1.00
19,MNQ 03-26,2025-12-31 10:07:00,Short,25712.2493208367,2025-12-31 10:38:00,25629,TP1_Short_02,333.00,3.64,329.36,-12.01,667.99,Asia High,2,6.66
19.2,MNQ 03-26,2025-12-31 10:07:00,Short,25712.2493208367,2025-12-31 11:19:00,25575.25,TP2_Short_02,548.00,3.64,544.36,-12.01,667.99,Asia High,2,10.96
1,MNQ 03-26,2025-12-22 04:10:00,Short,25712.25,2025-12-22 04:36:00,25695.25,TP2_Short_01,68.00,3.64,64.36,-10.00,138.00,Europe High,1,1.62
1.2,MNQ 03-26,2025-12-22 04:10:00,Short,25712.25,2025-12-22 05:24:00,25717.5,SL_Short_01,-42.00,7.28,-49.28,-21.00,138.00,Europe High,1,-1.00
2,MNQ 03-26,2025-12-22 11:51:00,Long,25660.5083819441,2025-12-22 11:51:00,25660.25,SL_Long_01,-1.03,3.64,-4.67,-1.03,0.00,USA Low,1,-1.00
3.1,MNQ 03-26,2025-12-23 09:59:00,Long,25628.0275689223,2025-12-23 10:31:00,25681,TP1_Long_02,105.94,1.82,104.12,-76.11,212.89,USA Low,2,1.34
3.2,MNQ 03-26,2025-12-23 09:59:00,Long,25628.0275689223,2025-12-23 11:04:00,25628.0275689223,SL_Long_02,0.00,1.82,-1.82,-76.11,246.44,USA Low,2,0.00
1,MNQ 03-26,2025-12-15 05:00:00,Short,25541.9489795918,2025-12-15 05:08:00,25549.25,SL_Short_01,-58.41,7.28,-65.69,-58.41,85.59,Europe High,1,-1.04
2,MNQ 03-26,2025-12-15 05:24:00,Short,25564.2236499675,2025-12-15 05:26:00,25575.75,SL_Short_02,-46.11,3.64,-49.75,-47.11,6.89,Europe High,2,-1.00
3,MNQ 03-26,2025-12-15 05:37:00,Short,25581.7445436508,2025-12-15 05:38:00,25584.5,SL_Short_03,-82.66,27.30,-109.96,-82.66,29.84,Europe High,3,-1.00
4,MNQ 03-26,2025-12-15 06:02:00,Short,25584.9876773712,2025-12-15 06:19:00,25593.5,SL_Short_04,-85.12,9.10,-94.22,-85.12,84.88,Europe High,4,-1.00
5,MNQ 03-26,2025-12-15 06:26:00,Short,25594.9957129964,2025-12-15 06:29:00,25600.75,SL_Short_05,-57.54,9.10,-66.64,-57.54,22.46,Europe High,5,-1.00
6,MNQ 03-26,2025-12-15 06:32:00,Short,25595.6863567073,2025-12-15 07:21:00,25602.25,SL_Short_06,-52.51,7.28,-59.79,-52.51,101.49,Europe High,6,-1.00
7,MNQ 03-26,2025-12-15 07:31:00,Short,25606.75,2025-12-15 07:32:00,25611.75,SL_Short_07,-50.00,9.10,-59.10,-52.50,5.00,Europe High,7,-1.00
8,MNQ 03-26,2025-12-15 08:07:00,Short,25612.9987980769,2025-12-15 08:45:00,25618,SL_Short_08,-70.02,12.74,-82.76,-70.02,402.48,Europe High,8,-1.00
9,MNQ 03-26,2025-12-15 08:52:00,Short,25613.25,2025-12-15 09:46:00,25621.25,SL_Short_09,-64.00,7.28,-71.28,-64.00,144.00,Europe High,9,-1.00
10,MNQ 03-26,2025-12-15 10:09:00,Short,25648.2462543832,2025-12-15 10:20:00,25655.5,SL_Short_10,-43.52,5.46,-48.98,-43.52,16.48,Europe High,10,-1.00
11,MNQ 03-26,2025-12-15 10:28:00,Short,25641.4727795092,2025-12-15 10:29:00,25657,SL_Short_11,-62.11,3.64,-65.75,-62.11,24.89,Europe High,11,-1.00
12,MNQ 03-26,2025-12-15 10:37:00,Short,25616.2347704957,2025-12-15 10:37:00,25616.5,SL_Short_12,-1.06,3.64,-4.70,-3.06,0.00,Europe High,12,-1.00
1,MNQ 03-26,2025-12-08 11:32:00,Long,25937.7664310399,2025-12-08 11:49:00,25937.5,SL_Long_01,-1.07,3.64,-4.71,-1.07,158.93,USA Low,1,-1.00
2,MNQ 03-26,2025-12-08 12:00:00,Long,25921.25,2025-12-08 12:01:00,25903,SL_Long_02,-73.00,3.64,-76.64,-73.00,0.00,USA Low,2,-1.00
3,MNQ 03-26,2025-12-08 12:26:00,Long,25908.0092828016,2025-12-08 12:26:00,25907.75,SL_Long_03,-1.04,3.64,-4.68,-1.04,5.96,USA Low,3,-1.00
4,MNQ 03-26,2025-12-08 13:12:00,Long,25882.5129636218,2025-12-08 13:12:00,25882.25,SL_Long_04,-1.05,3.64,-4.69,-1.05,0.00,USA Low,4,-1.00
5,MNQ 03-26,2025-12-08 13:46:00,Long,25874.037405828,2025-12-08 13:46:00,25873.75,SL_Long_05,-1.15,3.64,-4.79,-1.15,10.85,USA Low,5,-1.00
6.1,MNQ 03-26,2025-12-08 15:03:00,Long,25834.75,2025-12-08 17:30:00,25937.5,TP1_Long_06,205.50,1.82,203.68,-57.00,412.00,USA Low,6,2.85
6.2,MNQ 03-26,2025-12-08 15:03:00,Long,25834.75,2025-12-09 10:32:00,25834.75,SL_Long_06,0.00,1.82,-1.82,-57.00,412.00,USA Low,6,0.00
7,MNQ 03-26,2025-12-09 10:38:00,Long,25845.25,2025-12-09 10:38:00,25845,SL_Long_07,-1.00,3.64,-4.64,0.00,0.00,USA Low,7,-1.00
8,MNQ 03-26,2025-12-10 16:26:00,Short,26097.4987366197,2025-12-10 16:26:00,26097.75,SL_Short_01,-1.01,3.64,-4.65,-1.01,0.00,USA High,1,-1.00
1.1,MNQ 03-26,2025-12-02 04:23:00,Long,25601.7890189019,2025-12-02 04:42:00,25633.75,TP1_Long_01,63.92,1.82,62.10,-5.16,128.84,Asia Low,1,0.64
1.2,MNQ 03-26,2025-12-02 04:23:00,Long,25601.7890189019,2025-12-02 05:26:00,25699,TP2_Long_01,194.42,1.82,192.60,-5.16,194.92,Asia Low,1,1.96
2,MNQ 03-26,2025-12-02 05:45:00,Short,25688.6575506731,2025-12-02 06:08:00,25705,SL_Short_01,-65.37,3.64,-69.01,-65.37,48.63,Asia High,1,-1.00
3,MNQ 03-26,2025-12-02 06:20:00,Short,25699.7439245557,2025-12-02 06:32:00,25712.25,SL_Short_02,-50.02,3.64,-53.66,-50.02,40.98,Asia High,2,-1.00
4,MNQ 03-26,2025-12-02 06:37:00,Short,25715.75,2025-12-02 06:42:00,25719.5,SL_Short_03,-52.50,12.74,-65.24,-52.50,129.50,Asia High,3,-1.00
5,MNQ 03-26,2025-12-02 07:01:00,Short,25747.4997135655,2025-12-02 07:30:00,25753.25,SL_Short_04,-46.00,7.28,-53.28,-46.00,128.00,USA High,4,-1.00
6,MNQ 03-26,2025-12-02 07:40:00,Short,25747.6722879684,2025-12-02 09:41:00,25762.25,SL_Short_05,-58.31,3.64,-61.95,-58.31,146.69,USA High,5,-1.00
7,MNQ 03-26,2025-12-02 09:59:00,Short,25749.9573450515,2025-12-02 10:02:00,25768.25,SL_Short_06,-73.17,3.64,-76.81,-73.17,1.83,USA High,6,-1.00
8,MNQ 03-26,2025-12-02 10:13:00,Short,25766.2454155575,2025-12-02 10:34:00,25776.5,SL_Short_07,-41.02,3.64,-44.66,-41.02,166.98,USA High,7,-1.00
9,MNQ 03-26,2025-12-02 10:51:00,Short,25841.75,2025-12-02 11:01:00,25866.5,SL_Short_01,-99.00,3.64,-102.64,-99.00,106.00,USA High,1,-1.00
10,MNQ 03-26,2025-12-02 11:24:00,Short,25879.4999348234,2025-12-02 11:24:00,25879.75,SL_Short_02,-1.00,3.64,-4.64,-1.00,0.00,USA High,2,-1.00
11,MNQ 03-26,2025-12-02 11:55:00,Short,25908.5,2025-12-02 12:13:00,25808.75,TP1_Short_03,399.00,3.64,395.36,-52.50,600.00,USA High,3,4.43
11.2,MNQ 03-26,2025-12-02 11:55:00,Short,25908.5,2025-12-02 12:24:00,25724.5,TP2_Short_03,368.00,1.82,366.18,-52.50,600.00,USA High,3,4.09
12,MNQ 03-26,2025-12-03 10:20:00,Long,25705.2657139909,2025-12-03 10:20:00,25705,SL_Long_01,-1.06,3.64,-4.70,-1.06,37.94,Asia Low,1,-1.00
