ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
1,MGC 02-25,2025-01-06 02:29:47,Long,2642.7,2025-01-06 02:32:44,2641.6,SL_Long_01,-66.00,14.40,-80.40,-143.00,0.00,Europe Low,1,-6.00,0,1,0,0,4
1.2,MGC 02-25,2025-01-06 02:29:47,Long,2642.7,2025-01-06 02:32:44,2641.5,SL_Long_01,-84.00,16.80,-100.80,-143.00,0.00,Europe Low,1,-7.64,0,1,0,0,4
2,MGC 02-25,2025-01-06 02:39:52,Long,2642.2,2025-01-06 03:32:02,2641.2,SL_Long_02,-20.00,4.80,-24.80,-140.00,574.00,Europe Low,2,-2.00,0,1,0,0,4
2.2,MGC 02-25,2025-01-06 02:39:52,Long,2642.2,2025-01-06 03:32:02,2641.1,SL_Long_02,-132.00,28.80,-160.80,-140.00,574.00,Europe Low,2,-13.20,0,1,0,0,4
3,MGC 02-25,2025-01-06 03:57:34,Long,2638.4,2025-01-06 05:11:22,2647.2,TP1_Long_03,352.00,9.60,342.40,-88.00,704.00,Europe Low,3,2.20,0,1,0,0,4
3.2,MGC 02-25,2025-01-06 03:57:34,Long,2638.4,2025-01-06 07:35:29,2662.7,TP2_Long_03,243.00,2.40,240.60,-88.00,976.00,Europe Low,3,1.52,0,1,0,0,4
3.3,MGC 02-25,2025-01-06 03:57:34,Long,2638.4,2025-01-06 07:35:29,2662.7,TP2_Long_03,729.00,7.20,721.80,-88.00,976.00,Europe Low,3,4.56,0,1,0,0,4
4.1,MGC 02-25,2025-01-06 09:56:24,Long,2635.4,2025-01-06 10:16:37,2630.8,SL_Long_01,-46.00,2.40,-48.40,-138.00,171.00,Asia Low,1,-0.33,0,1,0,0,1
4.2,MGC 02-25,2025-01-06 09:56:24,Long,2635.4,2025-01-06 10:16:37,2630.7,SL_Long_01,-94.00,4.80,-98.80,-138.00,171.00,Asia Low,1,-0.68,0,1,0,0,1
5,MGC 02-25,2025-01-07 01:42:19,Short,2655.3,2025-01-07 02:07:08,2656.5,SL_Short_01,-144.00,28.80,-172.80,-144.00,132.00,USA High,1,-12.00,0,1,0,0,1
6.1,MGC 02-25,2025-01-07 02:26:12,Short,2655.9,2025-01-07 03:23:15,2651,TP1_Short_02,49.00,2.40,46.60,-120.00,400.00,USA High,2,0.45,0,1,0,0,1
6.2,MGC 02-25,2025-01-07 02:26:12,Short,2655.9,2025-01-07 03:23:15,2651,TP1_Short_02,49.00,2.40,46.60,-120.00,400.00,USA High,2,0.45,0,1,0,0,1
6.3,MGC 02-25,2025-01-07 02:26:12,Short,2655.9,2025-01-07 03:23:15,2651,TP1_Short_02,49.00,2.40,46.60,-120.00,400.00,USA High,2,0.45,0,1,0,0,1
6.4,MGC 02-25,2025-01-07 02:26:12,Short,2655.9,2025-01-07 03:23:15,2651,TP1_Short_02,49.00,2.40,46.60,-120.00,400.00,USA High,2,0.45,0,1,0,0,1
6.5,MGC 02-25,2025-01-07 02:26:12,Short,2655.9,2025-01-07 04:16:18,2655.9,SL_Short_02,0.00,9.60,-9.60,-120.00,400.00,USA High,2,0.00,0,1,0,0,1
7,MGC 02-25,2025-01-07 07:25:25,Short,2655.7,2025-01-07 07:45:18,2658.5,SL_Short_01,-140.00,12.00,-152.00,-140.00,0.00,Asia High,1,-1.00,0,1,0,0,1
8,MGC 02-25,2025-01-07 07:58:28,Short,2659.3,2025-01-07 08:03:18,2660,SL_Short_02,-49.00,16.80,-65.80,-140.00,120.00,Asia High,2,-7.00,0,1,0,0,1
8.2,MGC 02-25,2025-01-07 07:58:28,Short,2659.3,2025-01-07 08:03:18,2660.1,SL_Short_02,-104.00,31.20,-135.20,-140.00,120.00,Asia High,2,-14.86,0,1,0,0,1
9,MGC 02-25,2025-01-07 08:18:30,Short,2660.1,2025-01-07 08:40:54,2662.5,SL_Short_03,-144.00,14.40,-158.40,-144.00,30.00,Asia High,3,-6.00,0,1,0,0,1
10,MGC 02-25,2025-01-07 08:43:54,Short,2662.6,2025-01-07 08:52:30,2664.6,SL_Short_01,-140.00,16.80,-156.80,-140.00,112.00,Europe High,1,-1.40,0,1,0,0,1
11,MGC 02-25,2025-01-07 08:57:46,Short,2664.3,2025-01-07 09:01:02,2665.3,SL_Short_02,-50.00,12.00,-62.00,-160.00,352.00,Europe High,2,-0.79,0,1,0,0,1
11.2,MGC 02-25,2025-01-07 08:57:46,Short,2664.3,2025-01-07 09:01:02,2665.4,SL_Short_02,-121.00,26.40,-147.40,-160.00,352.00,Europe High,2,-1.92,0,1,0,0,1
12,MGC 02-25,2025-01-07 09:09:03,Short,2664.8,2025-01-07 09:14:59,2667.5,SL_Short_01,-135.00,12.00,-147.00,-135.00,15.00,USA High,1,-5.00,0,1,0,0,4
13,MGC 02-25,2025-01-07 09:35:54,Short,2673.3,2025-01-07 09:48:04,2676.4,SL_Short_01,-155.00,12.00,-167.00,-155.00,65.00,Europe High,1,-1.00,0,1,0,0,4
